id,name,mgmt,moi,cat,sex,cluster_name,block_name,district_name,school_type,assembly_name,parliament_name,pincode,address,landmark,bus,coord
1799,Ravenshaw School,ed,kannada,Upper Primary,co-ed,ambadgatti,bailhongal,belgaum,primary,,,,"cuttack , yutu",,,
11975,GHPS MANANGI,ed,kannada,Upper Primary,co-ed,hireguntanur,chitradurga,chitradurga,primary,,,, ,,,
11968,GHPS HALIYURU,ed,kannada,Upper Primary,co-ed,hireguntanur,chitradurga,chitradurga,primary,Chitradurga,Chitradurga,577520, ,,,POINT(76.3080176666667 14.213322)
11952,GHPS HIREGUNTANUR,ed,kannada,Upper Primary,co-ed,hireguntanur,chitradurga,chitradurga,primary,Chitradurga,Chitradurga,577520, ,,,POINT(76.2806826666667 14.215639)
11960,GLPS K.TIMMAIYANAHATTI,ed,kannada,Lower Primary,co-ed,hireguntanur,chitradurga,chitradurga,primary,Chitradurga,Chitradurga,577555, ,,,POINT(76.3255507142857 14.2277169047619)
11959,GLPS CHIKKAGUNTANURU,ed,kannada,Lower Primary,co-ed,hireguntanur,chitradurga,chitradurga,primary,Chitradurga,Chitradurga,577520, ,,,POINT(76.2946823333333 14.2242033333333)
11962,GHPS H.G.GOLLARAHATTI,ed,kannada,Upper Primary,co-ed,hireguntanur,chitradurga,chitradurga,primary,Chitradurga,Chitradurga,577520, ,,,POINT(76.280841 14.2284176666667)
11956,GULPS HALIYURU,ed,kannada,Lower Primary,co-ed,hireguntanur,chitradurga,chitradurga,primary,Chitradurga,Chitradurga,577520, ,,,POINT(76.3077793333333 14.2110013333333)
12059,GHPS INGALADALU,ed,kannada,Upper Primary,co-ed,d.s.halli,chitradurga,chitradurga,primary,Chitradurga,Chitradurga,577524, ,,,POINT(76.4298036666667 14.164902)
20468,GHPS MALAKASAMUDRA,ed,kannada,Upper Primary,co-ed,chikkamyagiri,yelburga,koppal,primary,Yelburga,Koppal,583236, ,,,POINT(76.0426816666667 15.5947013333333)
29653,GHPS TOTA NO.1 KULHALLI,ed,kannada,Upper Primary,co-ed,bhanatti,jamakhandi,bagalkot,primary,Terdal,Bagalkot,587311, ,,,POINT(75.1788786666667 16.5161816666667)
25145,HPS SANJEEV NAGAR KEMBHAVI,ed,kannada,Upper Primary,co-ed,kembhavi,shorapur,yadgiri,primary,Shahapur,Raichur,585216, ,,,POINT(76.524428 16.6543035)
17732,GHPS DEVARAHALLI,ed,kannada,Upper Primary,co-ed,dinnahalli,malur,kolar,primary,Malur,Kolar,563137, ,,,POINT(78.08438 12.89864)
17297,GHPS M MALLANDAHALLI,ed,kannada,Upper Primary,co-ed,madderi,kolar,kolar,primary,Kolar,Kolar,563101, ,,,POINT(78.035483 13.245106)
1912,GOVT HPS MANNERI,ed,kannada,Upper Primary,co-ed,hebballi,badami,bagalkot,primary,Badami,Bagalkot,587114, ,,,POINT(75.705979 15.841601)
23615,GLPS AGRI CAMP,ed,kannada,Upper Primary,co-ed,kyadigera,devadurga,raichur,primary,Devadurga,Raichur,584129, ,,,POINT(76.974786 16.235744)
5069,GOVT HPS HARNAL,ed,kannada,Upper Primary,co-ed,kalwadi,bhalki,bidar,primary,Bhalki,Bidar,585328, ,,,POINT(77.193121 17.9858986666667)
13688,GLPS CHANNAVEER NAGAR NARONA,ed,kannada,Lower Primary,co-ed,narona,aland,gulbarga,primary,Gulbarga Rural,Gulbarga,585311, ,,,POINT(76.7199720833333 17.5181120833333)
23625,GLPS SHAVANTHAGAL,ed,kannada,Upper Primary,co-ed,kyadigera,devadurga,raichur,primary,Devadurga,Raichur,584129, ,,,POINT(76.9153426666667 16.2010366666667)
3602,GMHPS GADHIGANUR,ed,kannada,Upper Primary,co-ed,papinayakana hall,hospet,bellary,primary,Vijayanagara,Bellary,583223, ,,,POINT(76.5969203333333 15.2232393333333)
12938,GMHPS CHIKKAJAJUR,ed,kannada,Upper Primary,co-ed,chikkajajuru,holalkere,chitradurga,primary,Holalkere,Chitradurga,577523, ,,,POINT(76.1418345238095 14.1245952380952)
7128,GLPS MEGALRUDANTHALLI,ed,kannada,Lower Primary,co-ed,odakehalla,hanur,chamrajnagar,primary,,,, ,,,
